2183 100000
21 34 1619
21 35 1451
21 36 1035
21 37 3468
21 38 1619
22 0 984
22 1 69
22 2 7
22 3 17
22 4 118
22 5 6
22 6 44
22 7 945
22 8 6111
22 9 14347
22 10 1111
22 11 14
22 12 184
22 13 1562
22 14 738
22 15 1110
22 16 1476
22 17 903
22 18 119
22 19 550
22 20 1010
22 21 2377
22 22 4662
22 23 5536
22 24 3262
22 25 3994
22 26 3239
22 27 7120
22 28 6719
22 29 5719
22 30 4967
22 31 1767
22 32 3678
22 33 3437
22 34 10474
22 35 1829
22 36 1438
22 37 3156
22 38 2067
23 0 372
23 1 290
23 2 12
23 4 7
23 5 38
23 6 330
23 7 1451
23 8 4121
23 9 7795
23 10 4191
23 11 107
23 12 28
23 13 413
23 14 1389
23 15 2030
23 16 2489
23 17 1114
23 18 1788
23 19 244
23 20 392
23 21 2327
23 22 2386
23 23 3357
23 24 17685
23 25 19208
23 26 4097
23 27 4871
23 28 3168
23 29 4638
23 30 13545
23 31 278
23 32 3514
23 33 2438
23 34 4280
23 35 3041
23 36 1708
23 37 3025
23 38 578
24 0 13
24 1 58
24 2 6
24 3 2
24 4 201
24 5 191
24 6 951
24 7 1090
24 8 533
24 9 4398
24 10 8843
24 11 1759
24 12 64
24 13 1348
24 14 2624
24 15 516
24 16 687
24 17 462
24 18 2127
24 19 179
24 20 294
24 21 1999
24 22 4250
24 23 5544
24 24 16972
24 25 35844
24 26 13675
24 27 2689
24 28 3367
24 29 2362
24 30 6066
24 31 3486
24 32 1248
24 33 1382
24 34 1956
24 35 4304
24 36 2789
24 37 4465
24 38 2158
24 39 3310
24 40 2824
25 2 4
25 3 3
25 4 7
25 5 761
25 6 947
25 7 27
25 8 171
25 9 2138
25 10 14107
25 11 1583
25 12 5
25 13 51
25 14 2518
25 15 955
25 16 141
25 17 1311
25 18 2614
25 19 319
25 20 3870
25 21 5360
25 22 4347
25 23 7761
25 24 9041
25 25 5803
25 26 3896
25 27 5372
25 28 4359
25 29 9582
25 30 18337
25 31 9258
25 32 1296
25 33 587
25 34 2267
25 35 9595
25 36 4545
25 37 16114
25 38 24592
25 39 21555
25 40 4560
26 2 583
26 3 4
26 4 4
26 5 2
26 6 71
26 7 912
26 8 3756
26 9 924
26 10 886
26 11 1574
26 12 1747
26 13 24
26 14 404
26 15 2019
26 16 1105
26 17 490
26 18 2325
26 19 2473
26 20 19220
26 21 16528
26 22 6330
26 23 5494
26 24 5349
26 25 2747
26 26 1849
26 27 14898
26 28 6790
26 29 6222
26 30 13906
26 31 8332
26 32 1752
26 33 1915
26 34 1459
26 35 3298
26 36 10659
26 37 23693
26 38 58690
26 39 26812
26 40 5233
27 2 563
27 3 22
27 4 28
27 5 3
27 6 80
27 7 71
27 8 67
27 9 63
27 10 3404
27 11 2093
27 12 201
27 13 5
27 14 644
27 15 1894
27 16 2561
27 17 5611
27 18 2328
27 19 8715
27 20 6429
27 21 4784
27 22 2968
27 23 2430
27 24 5098
27 25 2085
27 26 6103
27 27 3184
27 28 2596
27 29 3486
27 30 7291
27 31 5638
27 32 5451
27 33 5993
27 34 1121
27 35 3030
27 36 4859
27 37 9853
27 38 17571
27 39 15866
27 40 10667
28 2 26
28 3 100
28 4 3293
28 5 8
28 6 2
28 7 1
28 8 194
28 9 147
28 10 2270
28 11 2172
28 12 458
28 13 87
28 14 20
28 15 66
28 16 353
28 17 1058
28 18 3069
28 19 2566
28 20 1787
28 21 1967
28 22 1901
28 23 1977
28 24 3520
28 25 4762
28 26 4890
28 27 3331
28 28 2225
28 29 2110
28 30 7177
28 31 4536
28 32 6542
28 33 2853
28 34 2078
28 35 5107
28 36 8671
28 37 13034
28 38 7454
28 39 1310
28 40 4421
29 2 1
29 3 25
29 4 216
29 5 712
29 6 629
29 7 1144
29 8 1503
29 9 44
29 10 4423
29 11 1125
29 12 335
29 13 1190
29 15 30
29 16 175
29 17 115
29 18 1594
29 19 2215
29 20 160
29 21 738
29 22 716
29 23 2249
29 24 4939
29 25 3234
29 26 1503
29 27 3094
29 28 3704
29 29 5624
29 30 7761
29 31 12209
29 32 5803
29 33 8580
29 34 1404
29 35 3278
29 36 8326
29 37 2266
29 38 12949
29 39 4672
29 40 6488
30 2 1
30 5 4
30 6 2
30 7 21
30 8 2264
30 9 2608
30 10 7579
30 11 797
30 12 3
30 13 129
30 14 2
30 15 26
30 16 816
30 17 262
30 18 3017
30 19 11941
30 20 1529
30 21 280
30 22 1674
30 23 887
30 24 2180
30 25 1208
30 26 443
30 27 1394
30 28 5867
30 29 2258
30 30 4258
30 31 3200
30 32 4401
30 33 14868
30 34 5391
30 35 4011
30 36 6678
30 37 2856
30 38 7684
30 39 2956
30 40 1568
31 2 2
31 3 135
31 4 3
31 5 49
31 6 2278
31 7 691
31 8 399
31 9 1281
31 10 3042
31 11 987
31 14 3
31 15 71
31 16 930
31 17 3080
31 18 1083
31 19 1750
31 20 750
31 21 266
31 22 646
31 23 1655
31 24 2550
31 25 1001
31 26 419
31 27 2023
31 28 2846
31 29 3639
31 30 2298
31 31 3634
31 32 15083
31 33 11725
31 34 16969
31 35 1773
31 36 2457
31 37 2749
31 38 12411
31 39 3107
31 40 3311
32 2 35
32 3 1142
32 4 9
32 5 42
32 6 352
32 7 20
32 8 11
32 9 157
32 10 2227
32 11 9090
32 12 1117
32 13 6
32 14 1
32 16 78
32 17 1523
32 18 1918
32 19 620
32 20 979
32 21 309
32 22 538
32 23 1149
32 24 1618
32 25 3567
32 26 800
32 27 1436
32 28 5443
32 29 5544
32 30 8168
32 31 5962
32 32 2284
32 33 7963
32 34 11884
32 35 5092
32 36 2339
32 37 7330
32 38 6157
32 39 1954
32 40 1917
33 2 17
33 3 685
33 4 70
33 5 69
33 6 20
33 7 34
33 8 634
33 9 161
33 10 580
33 11 1042
33 12 2976
33 13 11
33 14 1
33 15 4
33 17 1716
33 18 2420
33 19 92
33 20 4750
33 21 386
33 22 1103
33 23 208
33 24 295
33 25 2383
33 26 3577
33 27 4340
33 28 4218
33 29 4220
33 30 4441
33 31 6191
33 32 4682
33 33 7168
33 34 21311
33 35 14773
33 36 2925
33 37 3041
33 38 7783
33 39 2878
33 40 2506
34 2 113
34 3 1947
34 4 131
34 5 971
34 6 85
34 7 98
34 8 276
34 9 3
34 10 110
34 11 30
34 12 2169
34 13 1793
34 14 13
34 15 4
34 16 1
34 17 4
34 18 52
34 19 194
34 20 2144
34 21 1060
34 22 689
34 23 383
34 24 185
34 25 731
34 26 1427
34 27 3215
34 28 4689
34 29 4224
34 30 9286
34 31 3606
34 32 6357
34 33 7078
34 34 10335
34 35 8729
34 36 5211
34 37 2241
34 38 3034
34 39 5311
34 40 1738
35 2 1
35 3 23
35 6 2
35 7 14
35 8 143
35 9 438
35 10 36
35 11 173
35 12 393
35 13 1613
35 14 350
35 15 1
35 17 2
35 18 16
35 19 663
35 20 6688
35 21 1117
35 22 2686
35 23 3223
35 24 287
35 25 160
35 26 1756
35 27 5323
35 28 4338
35 29 4777
35 30 3960
35 31 8766
35 32 8297
35 33 5712
35 34 8638
35 35 12559
35 36 12040
35 37 9789
35 38 3306
35 39 6062
35 40 4780
36 9 28
36 10 394
36 11 375
36 12 129
36 13 20
36 14 1808
36 15 198
36 16 10
36 17 8
36 18 112
36 19 1511
36 20 479
36 21 343
36 22 461
36 23 4875
36 24 7493
36 25 2075
36 26 1501
36 27 18935
36 28 11600
36 29 4681
36 30 5394
36 31 5372
36 32 4490
36 33 5516
36 34 17210
36 35 7353
36 36 9495
36 37 10948
36 38 7017
36 39 9468
36 40 7686
37 9 1208
37 10 1315
37 11 42
37 12 8
37 13 12
37 14 45
37 15 1149
37 16 206
37 17 84
37 18 326
37 19 35
37 20 732
37 21 176
37 22 324
37 23 319
37 24 1639
37 25 4904
37 26 9393
37 27 26017
37 28 11442
37 29 5606
37 30 3585
37 31 2157
37 32 7062
37 33 5667
37 34 10556
37 35 10178
37 36 17250
37 37 7535
37 38 2616
37 39 2981
37 40 4138
38 7 32
38 8 176
38 9 282
38 10 692
38 11 536
38 12 30
38 13 132
38 14 55
38 15 298
38 16 204
38 19 4
38 20 192
38 21 99
38 22 3142
38 23 894
38 24 2592
38 25 7900
38 26 2127
38 27 6864
38 28 7331
38 29 4104
38 30 5554
38 31 3778
38 32 7081
38 33 4777
38 34 7758
38 35 20434
38 36 5733
38 37 4195
38 38 2076
38 39 1486
38 40 3106
38 41 1905
38 42 391
38 43 338
38 44 366
38 45 100
39 7 1624
39 8 276
39 9 81
39 10 45
39 11 197
39 12 645
39 13 125
39 14 83
39 15 16
39 16 50
39 17 49
39 18 5
39 19 1
39 20 60
39 21 55
39 22 927
39 23 157
39 24 298
39 25 2714
39 26 1572
39 27 3378
39 28 6227
39 29 5308
39 30 12363
39 31 4780
39 32 8536
39 33 7124
39 34 14241
39 35 23178
39 36 12671
39 37 9332
39 38 3613
39 39 2878
39 40 1624
39 41 5723
39 42 2944
39 43 2907
39 44 926
39 45 771
40 7 1293
40 8 115
40 9 87
40 10 745
40 11 344
40 12 171
40 13 97
40 14 40
40 15 346
40 16 48
40 17 309
40 18 85
40 19 8
40 20 126
40 21 11
40 22 32
40 23 125
40 24 369
40 25 1366
40 26 1647
40 27 5485
40 28 2476
40 29 2718
40 30 16919
40 31 4464
40 32 5479
40 33 18151
40 34 53542
40 35 40562
40 36 10200
40 37 11441
40 38 5787
40 39 5717
40 40 2734
40 41 1457
40 42 1781
40 43 1125
40 44 1581
40 45 2789
41 7 479
41 8 519
41 9 285
41 10 411
41 11 1317
41 12 322
41 13 138
41 14 49
41 15 1067
41 16 309
41 17 325
41 18 1588
41 19 949
41 20 299
41 21 20
41 22 164
41 23 1201
41 24 761
41 25 1218
41 26 4662
41 27 4070
41 28 500
41 29 6106
41 30 4128
41 31 5290
41 32 14626
41 33 13520
41 34 15468
41 35 27126
41 36 13678
41 37 5820
41 38 4081
41 39 2919
41 40 3938
41 41 13514
41 42 5189
41 43 1151
41 44 1171
41 45 790
42 2 469
42 3 2230
42 4 2167
42 5 1740
42 6 539
42 7 1125
42 8 910
42 9 298
42 10 921
42 11 765
42 12 1042
42 13 709
42 14 233
42 15 1554
42 16 211
42 17 29
42 18 146
42 19 16
42 20 766
42 21 1881
42 22 2908
42 23 12186
42 24 1817
42 25 839
42 26 8257
42 27 3467
42 28 3655
42 29 1482
42 30 4934
42 31 10416
42 32 9996
42 33 6029
42 34 11314
42 35 12241
42 36 8196
42 37 7057
42 38 4438
42 39 4508
42 40 4130
42 41 7309
42 42 9628
42 43 3462
42 44 2269
42 45 802
43 2 553
43 3 6282
43 4 2908
43 5 3539
43 6 3109
43 7 1654
43 8 2947
43 9 2553
43 10 808
43 11 31
43 12 65
43 13 47
43 14 57
43 15 2204
43 16 80
43 18 182
43 19 193
43 20 62
43 21 761
43 22 50
43 23 1614
43 24 313
43 25 408
43 26 1457
43 27 534
43 28 1010
43 29 6061
43 30 9255
43 31 9170
43 32 8687
43 33 5934
43 34 12261
43 35 6736
43 36 2668
43 37 31207
43 38 7120
43 39 2514
43 40 2232
43 41 6155
43 42 3116
43 43 3355
43 44 2311
43 45 2266
44 2 1785
44 3 5869
44 4 10244
44 5 2850
44 6 1941
44 7 11587
44 8 6821
44 9 968
44 10 484
44 11 523
44 12 307
44 13 16
44 14 1655
44 15 954
44 16 41
44 17 16
44 18 31
44 19 1914
44 20 8
44 21 138
44 22 135
44 23 1343
44 24 81
44 25 1765
44 26 510
44 27 3014
44 28 1447
44 29 2496
44 30 6066
44 31 6647
44 32 8471
44 33 14422
44 34 7838
44 35 4512
44 36 5303
44 37 7625
44 38 6201
44 39 3248
44 40 3740
44 41 2000
44 42 7523
44 43 6059
44 44 3195
44 45 1805
45 0 21251
45 1 882
45 2 3541
45 3 6379
45 4 4529
45 5 1059
45 6 653
45 7 4276
45 8 11127
45 9 1041
45 10 460
45 11 546
45 12 37
45 13 1076
45 14 1465
45 15 666
45 16 138
45 17 8
45 18 402
45 19 2948
45 20 156
45 21 1
45 22 1
45 23 224
45 24 148
45 25 230
45 26 141
45 27 345
45 28 770
45 29 413
45 30 9059
45 31 9514
45 32 10546
45 33 7425
45 34 4382
45 35 3148
45 36 3157
45 37 4460
45 38 9809
45 39 4772
45 40 3391
45 41 4752
45 42 6359
45 43 13941
45 44 2192
45 45 1362
46 0 8063
46 1 12807
46 2 4249
46 3 10679
46 4 9666
46 5 3405
46 6 1903
46 7 3710
46 8 6360
46 9 288
46 10 109
46 11 76
46 12 2932
46 13 1386
46 14 1771
46 15 648
46 16 815
46 17 14
46 18 7
46 19 178
46 20 1438
46 21 28
46 22 12
46 23 71
46 24 335
46 25 4
46 26 161
46 27 272
46 28 416
46 29 1181
46 30 8568
46 31 6408
46 32 6745
46 33 2590
46 34 1960
46 35 1743
46 36 4290
46 37 8340
46 38 8348
46 39 6913
46 40 2563
46 41 1784
46 42 3896
46 43 3759
47 0 12652
47 1 13998
47 2 4559
47 3 7320
47 4 25837
47 5 14686
47 6 3641
47 7 6189
47 8 2528
47 9 83
47 10 1696
47 11 3076
47 12 4998
47 13 3309
47 14 1370
47 15 1717
47 16 765
47 17 38
47 18 2
47 19 257
47 20 2622
47 21 66
47 22 13
47 23 149
47 24 1562
47 25 1079
47 26 8
47 27 124
47 28 275
47 29 443
47 30 5254
47 31 7826
47 32 2885
47 33 635
47 34 1530
47 35 2980
47 36 8107
47 37 6965
47 38 3182
47 39 4577
47 40 2513
47 41 4477
47 42 1891
47 43 2542
48 0 20211
48 1 9145
48 2 1829
48 3 2226
48 4 1622
48 5 1703
48 6 1632
48 7 1774
48 8 17963
48 9 6338
48 10 2501
48 11 164
48 12 381
48 13 456
48 14 331
48 15 2
48 16 11
48 17 13
48 18 55
48 19 17
48 20 657
48 21 2226
48 22 30
48 23 6
48 24 86
48 25 2040
48 26 4062
48 27 7503
48 28 6366
48 29 7058
48 30 3232
48 31 4403
48 32 1471
48 33 5098
48 34 5328
48 35 7278
48 36 14806
48 37 5096
48 38 4547
48 39 5602
48 40 3207
48 41 4588
48 42 3948
48 43 188
49 0 28199
49 1 2073
49 2 250
49 3 13
49 4 947
49 5 624
49 6 1048
49 7 114
49 8 530
49 9 2522
49 10 599
49 11 752
49 12 477
49 13 29
49 14 14
49 15 5
49 16 6
49 17 115
49 18 470
49 19 770
49 20 1034
49 21 2388
49 22 392
49 23 19
49 24 225
49 25 88
49 26 1120
49 27 290
49 28 344
49 29 3546
49 30 224
49 31 475
49 32 5484
49 33 3309
49 34 3662
49 35 2803
49 36 12568
49 37 5199
49 38 5829
49 39 8592
49 40 3861
49 41 14006
49 42 2591
49 43 894
50 0 1041
50 1 4332
50 2 1482
50 4 185
50 5 5494
50 6 1970
50 7 48
50 8 113
50 9 2855
50 10 1900
50 11 140
50 12 114
50 13 64
50 14 569
50 15 75
50 16 115
50 17 545
50 18 1039
50 19 1058
50 20 2259
50 21 4144
50 22 309
50 23 18
50 24 1223
50 25 1057
50 26 901
50 27 59
50 28 302
50 29 2077
50 30 490
50 31 3839
50 32 1941
50 33 3116
50 34 3631
50 35 7725
50 36 4043
50 37 3783
50 38 8165
50 39 4566
50 40 10205
50 41 14047
50 42 1838
50 43 86
51 0 6573
51 1 686
51 2 726
51 4 2051
51 5 2947
51 6 224
51 7 2177
51 8 518
51 9 14
51 10 31
51 11 883
51 12 836
51 13 1565
51 14 317
51 15 14
51 16 687
51 17 46
51 18 15
51 19 102
51 20 711
51 21 2849
51 22 3509
51 23 275
51 24 20
51 25 86
51 26 71
51 27 89
51 28 1154
51 29 1498
51 30 1436
51 31 972
51 32 652
51 33 3271
51 34 4357
51 35 16918
51 36 5046
51 37 8027
51 38 6516
51 39 3923
51 40 4331
51 41 418
51 42 5918
51 43 1141
52 0 2770
52 1 2502
52 2 152
52 5 1723
52 6 3106
52 7 3652
52 8 690
52 9 18
52 10 36
52 11 11
52 12 36
52 13 143
52 14 272
52 15 5
52 16 797
52 17 73
52 18 293
52 19 774
52 20 333
52 21 919
52 22 2804
52 23 1071
52 24 43
52 25 43
52 26 249
52 27 102
52 28 4498
52 29 3940
52 30 1024
52 31 2499
52 32 451
52 33 1815
52 34 2989
52 35 12933
52 36 5174
52 37 3352
52 38 7393
52 39 5394
52 40 58
52 41 2500
52 42 2529
52 43 198
53 12 635
53 13 2236
53 14 1566
53 15 166
53 16 104
53 17 289
53 18 117
53 19 757
53 20 689
53 21 562
53 22 3298
53 23 112
53 24 26
53 25 26
53 26 424
53 27 1516
53 28 2162
53 29 107
53 30 690
53 31 1310
53 32 218
53 33 2375
53 34 5438
53 35 8354
53 36 22373
53 37 6738
53 38 8332
53 39 4761
53 41 4337
53 42 5575
53 43 98
54 12 133
54 13 42
54 14 32
54 15 55
54 16 300
54 17 990
54 18 1508
54 19 1642
54 20 5918
54 21 1874
54 22 4052
54 23 1614
54 24 602
54 25 149
54 26 361
54 27 10596
54 28 1970
54 29 930
54 30 11155
54 31 4518
54 32 916
54 33 2878
54 34 4425
54 35 4664
54 36 4448
54 37 14788
54 38 1820
54 41 15025
54 42 2869
54 43 977
55 11 82
55 12 209
55 13 25
55 14 132
55 15 229
55 16 16
55 17 59
55 18 91
55 19 563
55 20 381
55 21 140
55 22 885
55 23 13771
55 24 541
55 25 1753
55 26 5924
55 27 1644
55 28 6536
55 29 12116
55 30 8449
55 31 10322
55 32 4615
55 33 3120
55 34 3593
55 35 6277
55 36 6252
55 37 6991
55 39 1133
55 40 3592
55 41 3821
55 42 3508
55 43 169
56 9 4
56 10 65
56 11 816
56 12 828
56 13 14
56 14 257
56 15 15
56 16 118
56 17 540
56 18 1104
56 19 1756
56 20 2614
56 21 2849
56 22 1124
56 23 3458
56 24 3207
56 25 6591
56 26 3540
56 27 127
56 28 217
56 29 1079
56 30 91
56 31 6156
56 32 13823
56 33 8350
56 34 7853
56 35 10151
56 36 8156
56 37 7693
56 39 2713
56 40 2690
56 41 52
56 42 106
57 9 294
57 10 51
57 11 24
57 12 979
57 13 18
57 14 192
57 15 190
57 16 550
57 17 2150
57 18 177
57 19 1183
57 20 33
57 21 395
57 22 849
57 23 1206
57 24 91
57 25 892
57 26 3524
57 27 182
57 28 363
57 29 34
57 30 385
57 31 7592
57 32 8982
57 33 9960
57 34 16443
57 35 13812
57 36 22470
57 37 8942
57 38 1327
57 39 5500
57 40 1598
58 9 31
58 10 73
58 11 5
58 12 124
58 13 669
58 14 234
58 15 10
58 16 21
58 17 29
58 18 51
58 19 953
58 20 629
58 21 1843
58 22 1134
58 23 592
58 24 360
58 25 2980
58 26 2577
58 27 57
58 28 243
58 29 534
58 30 2886
58 31 5566
58 32 1116
58 33 287
58 34 1510
58 35 15283
58 36 12610
58 37 22610
58 38 4524
58 39 6182
58 40 1608
59 10 5
59 11 1
59 12 2
59 13 355
59 14 804
59 15 29
59 16 13
59 17 121
59 18 842
59 19 123
59 20 488
59 21 852
59 22 189
59 23 273
59 24 2499
59 25 2016
59 26 248
59 27 60
59 28 96
59 29 602
59 30 2329
59 31 2865
59 32 105
59 33 43
59 34 128
59 35 1470
59 36 3317
59 37 1294
59 38 445
59 39 724
59 40 1033
60 12 4
60 13 22
60 14 1066
60 15 4182
60 16 62
60 17 72
60 18 102
60 19 12
60 20 141
60 21 1215
60 22 6463
60 23 620
60 24 2250
60 25 490
60 26 813
60 27 62
60 28 523
61 12 15
61 13 8
61 14 33
61 15 2384
61 16 3575
61 17 56
61 18 8
61 19 5
61 20 33
61 21 173
61 22 275
61 23 2672
61 24 2093
61 25 83
61 26 455
61 27 62
61 28 5718
62 12 15
62 13 28
62 14 51
62 15 70
62 16 12
62 17 1440
62 18 1108
62 19 6
62 20 5
62 21 28
62 22 13
62 23 83
62 24 17
62 25 28
62 26 254
62 27 2433
62 28 337
63 9 28
63 10 28
63 11 74
63 12 68
63 13 83
63 14 52
63 15 8
63 16 26
63 17 19
63 18 680
63 19 189
63 20 2
63 21 25
63 22 1
63 23 12
63 24 18
63 25 46
63 26 612
63 27 68
64 9 10
64 10 39
64 11 2632
64 12 1141
64 13 264
64 14 17
64 15 59
64 16 43
64 17 55
64 18 1
64 19 51
64 20 885
64 21 606
64 22 14
64 24 12
64 25 77
64 26 171
65 9 950
65 10 1310
65 11 51
65 12 101
65 13 63
65 14 6
65 15 183
65 16 3040
65 17 460
65 18 1
65 19 37
65 20 20
65 21 97
65 22 394
65 23 9
65 24 18
65 25 20
65 26 947
66 9 1638
66 10 60
66 11 21
66 12 90
66 13 3
66 14 49
66 15 1
66 16 374
66 17 9
66 18 9
66 19 22
66 20 9
66 21 75
66 22 1040
66 23 22
66 24 2
66 25 7
66 26 325
66 27 13
66 28 12
67 16 20
67 17 6
67 18 22
67 19 25
67 20 7
67 21 2
67 22 2691
67 23 55
67 24 22
67 25 11
67 26 218
67 27 1400
67 28 88
68 16 5
68 17 7
68 18 557
68 19 38
68 20 90
